Table Names,cruise,datetime,lat,lon,depth,dfe,Rrs_443,Rrs_490,Rrs_560,Rrs_665,sensor,Rrs_443 / Rrs_490,Rrs_443 / Rrs_560,Rrs_443 / Rrs_665,Rrs_490 / Rrs_560,Rrs_490 / Rrs_665,Rrs_560 / Rrs_665
,,2014-04-10 00:00:00,-8.49846,80.802,,0.205854,0.008878001,0.006096001,0.001440001,0.000160001,modis,1.4563647545333407,6.165274190781812,55.487159455253405,4.2333310879645225,38.09976812644921,8.999950000312499
,,2014-05-14 00:00:00,-5.26734,67.9001,,0.204878,0.008748001,0.005846001,0.001172001,0.000122001,modis,1.4964077152911879,7.464158307032162,71.70433848902879,4.988051204734467,47.91764821599823,9.606486832075147
,,2013-04-23 00:00:00,-6.5027,97.6657,,0.241378,0.009574001,0.006820001,0.001758001,0.000244001,modis,1.403812257505534,5.445958790694659,39.237548206769645,3.8794067807697497,27.950709218404842,7.204892602899168
,,2013-04-28 00:00:00,3.24583,92.9338,,0.174963,0.010108001,0.007038001,0.001780001,0.000216001,modis,1.4362034049156855,5.678649056938732,46.79608427738761,3.9539309247579077,32.58318711487447,8.24070721894806
,,2015-10-03 00:00:00,21.85,61.5,,0.37561,0.002600001,0.002986001,0.001368001,6.2e-05,modis,0.8707301169691504,1.9005841369998997,41.9355,2.1827476734300633,48.1613064516129,22.064532258064514
,,2008-02-13 00:00:00,-42.3413,8.99384,,0.35122,0.008420001,0.006928001,0.002004001,0.000200001,modis,1.215357936582284,4.201595208784826,42.099794501027496,3.4570846022531923,34.639831800840994,10.0199549002255
,,2011-07-03 00:00:00,33.82482,-121.7257,,0.59182294,0.003538001,0.003388001,0.001356001,0.000102001,modis,1.044273894842416,2.6091433560889703,34.685944255448476,2.498523968640141,33.21537043754473,13.293997117675316
,,2011-07-03 00:00:00,33.83633,-121.7088,,0.39691858,0.003192001,0.003152001,0.001406001,0.000112001,modis,1.0126903513038223,2.2702693668069935,28.499754466477977,2.241819884907621,28.14261479808216,12.553468272604709
,,2011-07-03 00:00:00,33.84742,-121.6931,,0.14194246,0.003066001,0.003044001,0.001372001,0.000112001,modis,1.007227330083006,2.2346929776290247,27.374764511031152,2.2186580038935833,27.178337693413454,12.249899554468264
,,2011-07-03 00:00:00,33.85985,-121.6746,,0.25419334,0.003066001,0.003044001,0.001372001,0.000112001,modis,1.007227330083006,2.2346929776290247,27.374764511031152,2.2186580038935833,27.178337693413454,12.249899554468264
,,2011-07-03 00:00:00,33.88623,-121.6392,,0.09919066,0.002866001,0.002890001,0.001406001,0.000110001,modis,0.9916955046036315,2.038406089327106,26.054317688021015,2.0554757784667292,26.27249752274979,12.78171107535386
,,2002-08-08 00:00:00,36.41,-122.22,,0.22,0.002532001,0.002626001,0.002054001,0.000324001,modis,0.9642041263502945,1.2327165371389788,7.814793781500675,1.2784808770784435,8.104916342850794,6.339489692933047
,,2002-10-08 00:00:00,36.41,-122.22,,0.46,0.003220001,0.002914001,0.002106001,0.000298001,modis,1.1050102590905082,1.528964611127915,10.805336223703948,1.3836655348216833,9.778494031899221,7.067093734584784
,,2003-01-06 00:00:00,36.41,-122.22,,0.32,0.002084001,0.002584001,0.001718001,0.000226001,modis,0.806501622870889,1.2130382927600156,9.221202561050614,1.5040742118310757,11.433582152291361,7.601740700262388
,,2003-03-06 00:00:00,36.41,-122.22,,0.51,0.001314001,0.002242001,0.001604001,0.000142001,modis,0.5860840383211248,0.8192021077293592,9.253463003781663,1.3977553629954096,15.788628249096837,11.295702142942655
,,2003-05-12 00:00:00,36.41,-122.22,,0.54,0.001842001,0.002452001,0.001868001,0.000168001,modis,0.7512235924863,0.9860813779007613,10.964226403414266,1.3126336656136695,14.595157171683502,11.118987386979839
,,2003-06-24 00:00:00,36.41,-122.22,,0.33,0.001798001,0.001872001,0.001964001,0.000350001,modis,0.9604701065864815,0.9154786581065896,5.137131036768467,0.9531568466614835,5.348559004117131,5.611415395956011
,,2003-09-17 00:00:00,36.41,-122.22,,0.29,0.003688001,0.003708001,0.001500001,0.000102001,modis,0.9946062581968022,2.4586656942228706,36.156518073352224,2.471999018667321,36.352594582406056,14.705747982862912
,,2003-11-18 00:00:00,36.41,-122.22,,0.42,0.001794001,0.002142001,0.001606001,0.000160001,modis,0.8375350898528992,1.1170609482808542,11.212436172273923,1.3337482355241375,13.387422578608884,10.037443515978024
,,2004-01-21 00:00:00,36.41,-122.22,,0.45,0.002082001,0.003168001,0.002704001,0.000330001,modis,0.6571970779049627,0.769970499271265,6.309074820985391,1.171597569675455,9.59997393947291,8.19391759418911
,,2004-03-10 00:00:00,36.41,-122.22,,0.75,0.000588001,0.002370001,0.003370001,0.000638001,modis,0.2481015830795008,0.17448095712731243,0.9216302168805378,0.7032641830076608,3.7147292872581703,5.2821249496474145
,,2004-11-30 00:00:00,36.41,-122.22,,1.43,0.001866001,0.002190001,0.001350001,0.000202001,modis,0.8520548620754054,1.38222193909486,9.237582982262465,1.6222217613172139,10.841535437943376,6.683140182474344
,,2002-09-08 00:00:00,36.44,-122.1,,0.43,0.000724001,0.001396001,0.001300001,5.8e-05,modis,0.518624986658319,0.5569234177512171,12.482775862068966,1.0738460970414638,24.068982758620688,22.41381034482759
,,2002-10-08 00:00:00,36.44,-122.1,,0.3,0.002310001,0.002318001,0.001760001,0.000260001,modis,0.996548750410375,1.3124998224432827,8.884585059288233,1.317045274406094,8.915354171714725,6.7692085799670005
